,S.No,actual,name,title,male,culture,dateOfBirth,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity
1020,1021,0,Elwood,,0,,,,,,House Tully,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558
1021,1022,1,Elwood Meadows,Grassy Vale,1,Reach,278.0,,,,House Meadows,,0,1,1,1,1,,,,,0,1,27.0,0,0,0,0.0501672240802675
1022,1023,1,Elyana Vypren,,0,,264.0,,,,House Vypren,Jon Wylde,0,1,1,1,0,,,,1.0,1,0,41.0,0,0,0,0.160535117056856
1023,1024,1,Elyn Norridge,,0,,,,,,House Norridge,Luthor Tyrell,0,0,1,1,0,,,,1.0,1,0,,0,0,0,0.127090301003344
1024,1025,1,Emberlei Frey,,0,,296.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,9.0,0,0,0,0.0802675585284281
1025,1026,0,Endrew Tarth,Ser,1,,,,,,House Tarth,,1,1,1,0,0,,,,,0,1,,0,0,0,0.0668896321070234
1026,1027,0,Eroeh,,0,Lhazareen,,,,,,,1,1,0,0,1,,,,,0,0,,0,0,0,0.0334448160535117
1027,1028,0,Eon Hunter,Longbow Hall,1,,,,,,House Hunter,,1,1,1,1,1,,,,,0,1,,0,0,0,0.0468227424749163
1028,1029,1,Ermesande Hayford,Hayford,0,,298.0,,,,House Hayford,Tyrek Lannister,0,1,1,1,1,,,,0.0,1,1,7.0,0,0,0,0.113712374581939
1029,1030,1,Erena Glover,,0,Northmen,297.0,,,,House Glover,,0,1,1,1,0,,,,,0,0,8.0,0,0,0,0.0535117056856187
1030,1031,1,Erren Florent,Ser,1,,,,,,House Florent,,0,1,1,1,0,,,,,0,1,,0,0,0,0.0869565217391304
1031,1032,1,Eustace Brune,Dyre Den,1,,,,,,House Brune of the Dyre Den,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0167224080267558
1032,1033,1,Eustace Hunter,Ser,0,,,,,,House Hunter,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1033,1034,1,Eyron Stark,King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0100334448160535
1034,1035,1,Ferrego Antaryon,Sealord,1,Braavosi,,,,,,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0167224080267558
1035,1036,1,Forley Prester,Ser,1,,,,,,House Prester,,1,1,1,1,0,,,,,0,1,,0,0,0,0.0635451505016722
1036,1037,1,Franklyn Fowler,Skyreach,1,Dornish,,,,,House Fowler,,0,0,0,1,1,,,,,0,1,,0,0,0,0.020066889632107
1037,1038,1,Flement Brax,Ser,1,,,,,,House Brax,Morya Frey,1,1,1,1,1,,,,1.0,1,1,,0,0,0,0.140468227424749
1038,1039,1,Frenken,Maester,0,,,,,,,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0434782608695652
1039,1040,1,Franklyn Frey,Ser,1,Rivermen,,,,,House Frey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0367892976588628
1040,1041,1,Gareth Clifton,Ser,1,,,,,,House Clifton,Jeyne Farman,0,0,0,1,0,,,,1.0,1,1,,0,0,0,0.0133779264214046
1041,1042,1,Garrison Prester,Feastfires,1,,,,,,House Prester,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0133779264214046
1042,1043,0,Garth of Greenaway,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0301003344481605
1043,1044,1,Garrett Flowers,,0,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,0,,0,0,0,0.130434782608695
1044,1045,1,Garse Goodbrook,Ser,1,,,,,,House Goodbrook,Kyra Frey,0,1,1,1,0,,,,1.0,1,1,,0,0,0,0.0668896321070234
1045,1046,1,Garse Flowers,,1,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,0,,0,0,0,0.130434782608695
1046,1047,1,Garth Greenfield,Knight,0,Westermen,,,,,House Greenfield,,1,0,1,1,1,,,,,0,1,,0,0,0,0.0301003344481605
1047,1048,0,Garth Greyfeather,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0501672240802675
1048,1049,0,Gawen Swann,Stonehelm,1,,152.0,,,,House Swann,,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0167224080267558
1049,1050,1,Gawen Glover,,1,Northmen,295.0,,,,House Glover,,0,1,1,1,0,,,,,0,0,10.0,0,0,0,0.0468227424749163
1050,1051,0,Gawen Wylde,Ser,1,,,,,,House Wylde,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0133779264214046
1051,1052,1,Garth Tyrell,Lord Seneschal,1,,,,,,House Tyrell,,1,1,1,1,1,,,,,0,1,,0,0,0,0.163879598662207
1052,1053,1,Gendel,King-Beyond-the-Wall,1,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0568561872909698
1053,1054,1,Gawen Westerling,Crag,1,Westermen,,,,,House Westerling,Sybell Spicer,1,1,1,1,1,,,,1.0,1,1,,0,0,0,0.0836120401337792
1054,1055,1,Gerald Gower,Ser,0,,,,,,House Gower,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1055,1056,1,Gerold Grafton,Gulltown,1,,,,,,House Grafton,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1056,1057,0,Gerardys,Grand Maester,1,,,,,,Blacks,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0234113712374581
1057,1058,1,Gilbert Farring,Ser,1,,,,,,House Farring,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0468227424749163
1058,1059,1,Glendon Hewett,Ser,1,,,,,,House Hewett,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0267558528428093
1059,1060,1,Gilwood Hunter,Ser,1,,250.0,,,,House Hunter,,0,0,1,1,1,,,,,0,1,55.0,0,0,0,0.040133779264214
1060,1061,1,Godric Borrell,Sweetsister,1,Sistermen,,,,,House Borrell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0869565217391304
1061,1062,1,Goodwin,Ser,1,,,,,,House Tarth,,0,0,0,1,0,,,,,0,1,,0,0,0,0.0066889632107023
1062,1063,0,Gormon Peake,Starpike,1,,,,,,House Peake,,0,0,0,0,0,,,,,0,1,,0,0,0,0.060200668896321
1063,1064,1,Gorne,King-Beyond-the-Wall,1,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0535117056856187
1064,1065,1,Gormon Tyrell,Maester,1,,,,,,Citadel,,1,1,1,1,1,,,,,0,1,,0,0,0,0.153846153846153
1065,1066,1,Grazdan mo Eraz,,0,Ghiscari,,,,,Wise Masters,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0234113712374581
1066,1067,0,Grazdan mo Ullhor,Good Master,1,Astapori,,,,,Good Masters,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0301003344481605
1067,1068,1,Grazdar zo Galare,Cupbearer,1,Ghiscari,,,,,House of Galare,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0100334448160535
1068,1069,0,Grubbs,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.020066889632107
1069,1070,1,Gueren,,1,,,,,,Night's Watch,,1,1,1,1,0,,,,,0,0,,0,0,0,0.0133779264214046
1070,1071,0,Guncer Sunglass,Sweetport Sound,1,,,,,,House Sunglass,,0,1,1,0,0,,,,,0,1,,0,0,0,0.040133779264214
1071,1072,1,Gulian Swann,Stonehelm,1,,259.0,,,,House Swann,,0,1,1,0,0,,,,,0,1,46.0,0,0,0,0.0334448160535117
1072,1073,1,Guthor Grimm,Lord of Greyshield,1,,,,,,House Grimm,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0167224080267558
1073,1074,1,Gunthor Hightower,Ser,0,,,,,,House Hightower,Jeyne Fossoway,0,0,0,1,0,,,,1.0,1,1,,0,0,0,0.0535117056856187
1074,1075,1,Gyldayn,Archmaester,1,,,,,,The Citadel,,0,0,0,0,0,,,,,0,1,,0,0,0,0.157190635451505
1075,1076,0,Gwayne Hightower,Ser,1,,88.0,,,,House Hightower,,0,0,0,0,0,,,,,0,1,42.0,0,0,0,0.0501672240802675
1076,1077,0,Hairy Hal,,0,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0334448160535117
1077,1078,0,Hake,,1,,,,,,Night's Watch,,1,1,1,0,0,,,,,0,0,,0,0,0,0.0267558528428093
1078,1079,1,Halder,,1,,281.0,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,24.0,0,0,0,0.060200668896321
1079,1080,1,Hallis Mollen,Winterfell,1,Northmen,,,,,House Mollen,,1,1,1,1,0,,,,,0,1,,0,0,0,0.0702341137123745
1080,1081,1,Halmon Paege,Ser,1,,,,,,House Paege,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0167224080267558
1081,1082,1,Harbert,Ser,1,,,,,,House Baratheon,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581
1082,1083,1,Harlan Hunter,Ser,1,,,,,,House Hunter,,1,0,0,1,1,,,,,0,1,,0,0,0,0.0267558528428093
1083,1084,0,Harlen Tyrell,High Steward of Highgarden,1,Reach,,,,,House Tyrell,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0635451505016722
1084,1085,1,Harmond Umber,Last Hearth,0,Northmen,,,,,House Umber,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0167224080267558
1085,1086,1,Harmune,Maester,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0434782608695652
1086,1087,0,Harrold Westerling,Ser,1,Westermen,,,,,House Westerling,,0,0,0,0,0,,,,,0,1,,0,0,0,0.270903010033444
1087,1088,0,Harwood Fell,Felwood,1,,,,,,House Fell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0301003344481605
1088,1089,0,Harwin Strong,Ser,1,,90.0,,,,House Strong,,0,0,0,0,0,,,,,0,1,30.0,0,0,0,0.0869565217391304
1089,1090,1,Harwood Stout,Goldgrass,1,Northmen,,,,,House Stout,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0535117056856187
1090,1091,1,Harys Haigh,Ser,1,,254.0,,,,House Haigh,,0,1,1,1,0,,,,,0,1,51.0,0,0,0,0.0903010033444816
1091,1092,0,Helman Tallhart,Ser,1,Northmen,,,,,House Tallhart,,1,1,1,1,1,,,,,0,1,,0,0,0,0.130434782608695
1092,1093,1,Lord Commander Hoare,Lord Commander of the Night's Watch,1,,,,,,House Hoare,,1,0,0,0,0,,,,,0,1,,0,0,0,0.060200668896321
1093,1094,1,Hobber Redwyne,Ser,1,Reach,,,,,House Redwyne,,1,1,1,1,1,,,,,0,1,,0,0,0,0.214046822742474
1094,1095,1,Hoarfrost Umber,Last Hearth,1,Northmen,,,,,House Umber,,0,0,0,0,1,,,,,0,1,,0,0,0,0.020066889632107
1095,1096,1,Hosman Norcross,Ser,1,,,,,,House Norcross,Delena Florent,0,1,1,1,0,,,,1.0,1,1,,0,0,0,0.0769230769230769
1096,1097,1,Hoster Frey,,1,,287.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,18.0,0,0,0,0.0903010033444816
1097,1098,1,Horas Redwyne,Ser,1,Reach,,,,,House Redwyne,,1,1,1,1,1,,,,,0,1,,0,0,0,0.217391304347826
1098,1099,0,Hubard Rambton,Ser,1,,,,,,House Rambton,,0,1,1,0,0,,,,,0,1,,0,0,0,0.020066889632107
1099,1100,1,Horton Redfort,Redfort,1,Valemen,,,,,House Redfort,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0468227424749163
1100,1101,1,Hotho Harlaw,Tower of Glimmering,1,Ironborn,,,,,House Harlaw of the Tower of Glimmering,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0769230769230769
1101,1102,1,Hugo Wull,Big BucketThe Wull,1,Northern Mountain Clans,,,,,House Wull,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0367892976588628
1102,1103,1,Hugor of the Hill,King of the Andals,1,Andal,,,,,,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0501672240802675
1103,1104,1,Hugo Vance,Ser,1,,,,,,House Vance of Atranta,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0267558528428093
1104,1105,0,Hullen,Winterfell,1,Northmen,,,,,House Stark,,1,1,1,0,1,,,,,0,1,,0,0,0,0.060200668896321
1105,1106,0,Humfrey Beesbury,Ser,1,,,,,,House Beesbury,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0267558528428093
1106,1107,0,Humfrey Hardyng,Ser,1,,,,,,House Hardyng,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0535117056856187
1107,1108,1,Humfrey Swyft,Ser,0,,,,,,House Swyft,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0100334448160535
1108,1109,1,Humfrey Wagstaff,Ser,0,,230.0,,,,House Wagstaff,,0,0,0,1,0,,,,,0,1,75.0,0,0,0,0.0167224080267558
1109,1110,1,Igon Vyrwel,,0,,,,,,House Vyrwel,,1,1,1,1,1,,,,,0,0,,0,0,0,0.0267558528428093
1110,1111,1,Jacks,,0,Northmen,,,,,House Stark,,1,1,1,1,0,,,,,0,0,,0,0,0,0.0334448160535117
1111,1112,1,Janei Lannister,,0,,296.0,,,,House Lannister,,1,1,1,1,1,,,,,0,0,9.0,0,0,0,0.100334448160535
1112,1113,1,Jammos Frey,Ser,1,,266.0,,,,House Frey,Sallei Paege,0,1,1,1,1,,,,1.0,1,1,39.0,0,0,0,0.0903010033444816
1113,1114,1,Janna Tyrell,,0,,,,,,House Tyrell,Jon Fossoway,1,1,1,1,1,,,,1.0,1,0,,0,0,0,0.177257525083612
1114,1115,0,Jaremy Rykker,First Ranger,1,,,,,,Night's Watch,,1,1,1,0,1,,,,,0,1,,0,0,0,0.060200668896321
1115,1116,0,Jarl,,1,Free Folk,,,,,,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0501672240802675
1116,1117,0,Jason Lannister,Ser,1,,,,,,House Lannister,Johanna Lannister,0,0,0,0,0,,,,1.0,1,1,,0,0,0,0.0468227424749163
1117,1118,1,Jasper Arryn,Eyrie,1,,,,,,House Arryn,,0,0,0,1,0,,,,,0,1,,1,1,0,0.0434782608695652
1118,1119,1,Jasper Redfort,Ser,0,Valemen,,,,,House Redfort,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1119,1120,1,Jeren,,1,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.020066889632107
1120,1121,0,Jeyne Arryn,Eyrie,0,Vale,,,,,House Arryn,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0334448160535117
1121,1122,1,Jeyne Beesbury,,0,,,,,,House Beesbury,Rhaegar Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.060200668896321
1122,1123,1,Jeyne Darry,,1,Westerosi,,,,,House Darry,Cleos Frey,0,0,1,1,0,,,,0.0,1,0,,0,0,0,0.0769230769230769
1123,1124,1,Jeyne Goodbrook,,0,,293.0,,,,House Goodbrook,,0,1,1,1,0,,,,,0,0,12.0,0,0,0,0.0635451505016722
1124,1125,1,Jeyne Rivers,,0,,,,,,House Frey,,0,1,1,1,1,,,,,0,0,,0,0,0,0.020066889632107
1125,1126,1,Jeyne Lydden,,0,,,,,,House Lydden,Stevron Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.100334448160535
1126,1127,0,Joffrey Lonmouth,Ser,1,,99.0,,,,House Lonmouth,,0,0,0,0,0,,,,,0,1,15.0,0,0,0,0.0234113712374581
1127,1128,0,Joffrey Caswell,Bitterbridge,1,,190.0,,,,House Caswell,,0,0,0,0,0,,,,,0,1,100.0,0,0,0,0.0234113712374581
1128,1129,1,Jon Bettley,Ser,0,,,,,,House Bettley,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0167224080267558
1129,1130,1,Jon Brax,,0,,296.0,,,,House Brax,,0,1,1,1,0,,,,,0,0,9.0,0,0,0,0.113712374581939
1130,1131,1,Jon Lynderly,Lord of the Snakewood,0,,,,,,House Lynderly,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1131,1132,1,Jon Myre,,0,Ironborn,,,,,House Myre,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0234113712374581
1132,1133,1,Jon Redfort,Ser,0,Valemen,,,,,House Redfort,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1133,1134,1,Jon Wylde,Ser,1,,,,,,House Wylde,Elyana Vypren,0,1,1,1,0,,,,1.0,1,1,,0,0,0,0.160535117056856
1134,1135,1,Jonos Stark,King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0100334448160535
1135,1136,1,Jonos Frey,,0,,291.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,14.0,0,0,0,0.0535117056856187
1136,1137,1,Jonnel Stark,Winterfell,1,,,,,,House Stark,Robyn Ryswell,0,1,0,0,0,,,,1.0,1,1,,0,0,0,0.127090301003344
1137,1138,1,Joramun,King-Beyond-the-Wall,1,Free Folk,,,,,,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0635451505016722
1138,1139,1,Jorah Stark,King in the North,1,Northmen,,,,,House Stark,,0,1,0,0,0,,,,,0,1,,0,0,0,0.0100334448160535
1139,1140,0,Jonothor Darry,Ser,1,,,,,,House Darry,,0,0,1,1,0,,,,,0,1,,1,1,0,0.0468227424749163
1140,1141,1,Jorelle Mormont,,0,Northmen,278.0,,,,House Mormont,,0,0,0,1,1,,,,,0,0,27.0,0,0,0,0.040133779264214
1141,1142,1,Jyana,,0,Crannogmen,,,,,House Reed,Howland Reed,0,0,0,1,1,,,,1.0,1,0,,0,0,0,0.020066889632107
1142,1143,1,Joy Hill,,0,,288.0,,,,House Lannister,,1,1,1,1,1,,,,,0,0,17.0,0,0,0,0.103678929765886
1143,1144,1,Jyanna Frey,,0,,,,,,House Frey,Benfrey Frey,0,1,1,1,0,,,,0.0,1,0,,0,0,0,0.0501672240802675
1144,1145,0,Kaeth,Grand Maester,1,,175.0,,,,,,0,0,1,1,0,,,,,0,1,82.0,0,0,0,0.260869565217391
1145,1146,1,Jynessa Blackmont,,0,Dornish,,,,,House Blackmont,,0,0,1,1,0,,,,,0,0,,0,0,0,0.020066889632107
1146,1147,1,Karlon Stark,Karl's Hold,1,Northmen,,,,,House Stark,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558
1147,1148,1,Kedge Whiteye,,1,,251.0,,,,Night's Watch,,0,1,1,1,1,,,,,0,0,54.0,0,0,0,0.0367892976588628
1148,1149,1,Kennos of Kayce,Ser,1,,,,,,House Kenning of Kayce,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0334448160535117
1149,1150,1,Kezmya,Cupbearer,0,Ghiscari,,,,,House of Pahl,,0,0,0,0,1,,,,,0,1,,0,0,0,0.0167224080267558
1150,1151,0,Kyra,,1,,280.0,,,,House Stark,,1,1,0,1,1,,,,,0,0,20.0,0,0,0,0.0535117056856187
1151,1152,1,Kyra Frey,,0,,262.0,,,,House Frey,Garse Goodbrook,0,1,1,1,0,,,,1.0,1,0,43.0,0,0,0,0.0668896321070234
1152,1153,1,Lambert Turnberry,Ser,1,,,,,,House Turnberry,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0167224080267558
1153,1154,0,Lark,,1,Sistermen,,,,,Night's Watch,,0,1,1,0,0,,,,,0,0,,0,0,0,0.040133779264214
1154,1155,1,Larence Snow,,1,Northmen,286.0,,,,House Hornwood,,0,1,1,1,0,,,,,0,0,19.0,0,0,0,0.060200668896321
1155,1156,1,Larra Blackmont,Blackmont,0,Dornish,,,,,House Blackmont,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0267558528428093
1156,1157,1,Lanna Lannister,,0,,,,,,House Lannister,Antario Jast,0,0,1,1,1,,,,1.0,1,0,,0,0,0,0.0735785953177257
1157,1158,1,Leathers,Master-at-Arms,1,Free Folk,259.0,,,,Night's Watch,,0,0,0,0,1,,,,,0,1,46.0,0,0,0,0.0501672240802675
1158,1159,1,Left Hand Lew,,1,,,,,,Night's Watch,,0,0,1,1,1,,,,,0,0,,0,0,0,0.0167224080267558
1159,1160,0,Leo Lefford,Golden Tooth,1,,,,,,House Lefford,,1,1,1,1,1,,,,,0,1,,0,0,0,0.0568561872909698
1160,1161,1,Leo Blackbar,Ser,1,,,,,,House Blackbar,Olene Tyrell,0,0,1,1,0,,,,1.0,1,1,,0,0,0,0.127090301003344
1161,1162,1,Leona Woolfield,,0,,,,,,House Woolfield,Wylis Manderly,0,0,0,1,1,,,,1.0,1,0,,0,0,0,0.0468227424749163
1162,1163,1,Leonette Fossoway,Lady,0,,,,,,House Fossoway,Garlan Tyrell,0,0,1,1,1,,,,1.0,1,1,,0,0,0,0.17391304347826
1163,1164,1,Leonella Lefford,,0,,,,,,House Lefford,Lothar Frey,0,1,1,1,0,,,,1.0,1,0,,0,0,0,0.0802675585284281
1164,1165,1,Lester Morrigen,Lord of Crows Nest,0,,,,,,House Morrigen,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1165,1166,1,Lewys the Fishwife,,0,,,,,,House Baratheon of Dragonstone,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0
1166,1167,1,Lewys Lydden,Lord of the Deep Den,0,,,,,,House Lydden,,1,1,1,1,1,,,,,0,1,,0,0,0,0.0367892976588628
1167,1168,1,Leslyn Haigh,Ser,0,,,,,,House Haigh,Perriane Frey,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.0869565217391304
1168,1169,1,Lomas Estermont,Ser,0,Stormlander,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0334448160535117
1169,1170,0,Lorent Marbrand,Ser,1,Westermen,,,,,House Marbrand,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0735785953177257
1170,1171,1,Loreza Sand,,0,Dornish,293.0,,,,House Martell,,0,0,1,1,1,,,,,0,0,12.0,1,1,0,0.107023411371237
1171,1172,0,Lothar Mallery,Lord,0,,,,,,House Mallery,,1,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558
1172,1173,1,Lucas Corbray,Ser,0,,,,,,House Corbray,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0133779264214046
1173,1174,1,Lucas Codd,,0,Ironborn,,,,,House Codd,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712374581
1174,1175,1,Luceon Frey,Septon,1,,249.0,,,,Faith of the Seven,,0,1,1,1,1,,,,,0,0,56.0,0,0,0,0.0769230769230769
1175,1176,1,Lucias Vypren,Lord,1,,,,,,House Vypren,Lythene Frey,0,1,1,1,1,,,,1.0,1,1,,0,0,0,0.163879598662207
1176,1177,1,Lucos Chyttering,Lord,1,,283.0,,,,House Chyttering,,0,0,1,1,0,,,,,0,1,22.0,0,0,0,0.020066889632107
1177,1178,1,Lucion Lannister,Ser,0,,,,,,House Lannister,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0668896321070234
1178,1179,1,Luthor Tyrell,Lord Paramount of the Mander,1,Reach,,,,,House Tyrell,Olenna Redwyne,0,0,1,0,0,,,,1.0,1,1,,1,1,0,0.170568561872909
1179,1180,1,Lyanna Mormont,,1,Northmen,290.0,,,,House Mormont,,0,0,0,1,1,,,,,0,0,15.0,1,1,0,0.0568561872909698
1180,1181,1,Lyessa Flint,Widow's Watch,0,Northmen,,,,,House Flint of Widow's Watch,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0367892976588628
1181,1182,0,Lyman Beesbury,Master of coin,1,,48.0,,,,House Beesbury,,0,0,0,0,0,,,,,0,1,81.0,0,0,0,0.260869565217391
1182,1183,1,Lymond Goodbrook,Lord,1,,,,,,House Goodbrook,,0,0,1,1,1,,,,,0,1,,0,0,0,0.0267558528428093
1183,1184,0,Lyman Darry,Lord of Darry,0,,290.0,,,,House Darry,,1,1,0,0,0,,,,,0,1,9.0,0,0,0,0.0568561872909698
1184,1185,1,Lymond Lychester,Castle Lychester,1,Rivermen,,,,,House Lychester,,0,0,1,1,0,,,,,0,1,,0,0,0,0.0234113712374581
1185,1186,1,Lymond Vikary,Ser,1,,,,,,House Vikary,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0267558528428093
1186,1187,1,Lyonel Selmy,Ser,1,,,,,,House Selmy,,0,0,1,0,0,,,,,0,1,,0,0,0,0.0167224080267558
1187,1188,1,Aggo,,0,Dothraki,,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,,0,0,0,0.133779264214046
1188,1189,1,Alys Karstark,,0,Northmen,284.0,,,,House Karstark,Sigorn,0,0,1,1,1,,,,1.0,1,0,21.0,0,0,0,0.157190635451505
1189,1190,0,Cleos Frey,Ser,1,,258.0,,,,House Frey,Jeyne Darry,1,1,1,1,1,,,,1.0,1,1,41.0,0,0,0,0.247491638795986
1190,1191,0,Dontos Hollard,Ser,1,,261.0,,,,House Hollard,,1,1,1,1,0,,,,,0,1,39.0,0,0,0,0.23076923076923
1191,1192,0,Craster,,1,Free Folk,,,,,,,0,1,1,1,1,,,,,0,0,,0,0,0,0.170568561872909
1192,1193,0,Dale Seaworth,Wraith,1,,,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0702341137123745
1193,1194,1,Denys Mallister,Ser,1,,245.0,,,,House Mallister,,1,1,1,1,1,,,,,0,1,60.0,0,0,0,0.130434782608695
1194,1195,1,Edric Storm,,1,,287.0,,,,House Baratheon,,1,1,1,1,1,,,,,0,0,18.0,0,0,0,0.284280936454849
1195,1196,1,Hosteen Frey,Ser,1,,249.0,,,,House Frey,Bellena Hawick,1,1,1,1,1,,,,1.0,1,1,56.0,0,0,0,0.274247491638795
1196,1197,1,Lyonel Corbray,Heart's Home,1,,260.0,,,,House Corbray,,0,0,0,1,1,,,,,0,1,45.0,0,0,0,0.0802675585284281
1197,1198,1,Lyonel Frey,Ser,0,,259.0,,,,House Frey of Riverrun,Melesa Crakehall,0,1,1,1,1,,,,1.0,1,1,46.0,0,0,0,0.0635451505016722
1198,1199,0,Lyonel Strong,Harrenhal,1,,,,,,House Strong,1st: unknown2nd: unknown3rd: unknown,0,0,0,0,0,,,,1.0,1,1,,0,0,0,0.334448160535117
1199,1200,1,Lythene Frey,,0,,251.0,,,,House Frey,Lucias Vypren,0,1,1,1,1,,,,1.0,1,0,54.0,0,0,0,0.160535117056856
1200,1201,1,Lyra Mormont,,0,Northmen,277.0,,,,House Mormont,,0,0,0,1,1,,,,,0,0,28.0,0,0,0,0.040133779264214
1201,1202,1,Maegelle Frey,,0,,249.0,,,,House Frey,Dafyn Vance,0,1,1,1,0,,,,1.0,1,0,56.0,0,0,0,0.107023411371237
1202,1203,0,Mallador Locke,Ser,1,,,,,,Night's Watch,,0,1,1,0,0,,,,,0,1,,0,0,0,0.0267558528428093
1203,1204,1,Malwyn Frey,,1,,284.0,,,,House Frey,,0,1,1,1,0,,,,,0,0,21.0,0,0,0,0.137123745819397
1204,1205,1,Manfrey Martell,Ser,0,Dornish,,,,,House Martell,,0,0,0,1,1,,,,,0,1,,0,0,0,0.0234113712374581
1205,1206,1,Margot Lannister,Starpike,0,,,,,,House Lannister,Titus Peake,0,0,1,1,1,,,,1.0,1,1,,0,0,0,0.020066889632107
1206,1207,0,Maric Seaworth,Oarmaster,1,,,,,,House Seaworth,,0,1,1,1,1,,,,,0,1,,0,0,0,0.0635451505016722
1207,1208,1,Marianne Vance,,0,,262.0,,,,House Vance,,0,1,1,1,0,,,,,0,0,43.0,0,0,0,0.103678929765886
